"partido_descricao","date_scraped","partido_estado","id","partido_partido"
"Direção Estadual/Distrital","2011-03-23T21:26:08.402441","RR","2344","PR"
"Direção Estadual/Distrital","2011-03-23T21:26:08.498048","RR","2345","PSOL"
"Direção Estadual/Distrital","2011-03-23T21:26:08.557378","RR","2346","PRB"
"Direção Estadual/Distrital","2011-03-23T21:26:08.605354","RR","2347","PSC"
"Direção Estadual/Distrital","2011-03-23T21:26:08.627151","RR","2348","PTC"
"Direção Estadual/Distrital","2011-03-23T21:26:08.642003","RR","2349","PDT"
"Direção Estadual/Distrital","2011-03-23T21:26:08.697207","RR","2350","DEM"
"Direção Estadual/Distrital","2011-03-23T21:26:08.747067","RR","2351","PSDC"
"Direção Estadual/Distrital","2011-03-23T21:26:08.768503","RR","2353","PPS"
"Direção Estadual/Distrital","2011-03-23T21:26:08.802212","RR","2354","PMDB"
"Direção Estadual/Distrital","2011-03-23T21:26:08.814708","RR","2355","PP"
"Direção Estadual/Distrital","2011-03-23T21:26:08.828214","RR","2356","PSB"
"Direção Estadual/Distrital","2011-03-23T21:26:08.839170","RR","2358","PTB"
"Direção Estadual/Distrital","2011-03-23T21:26:08.851373","RR","2359","PC do B"
"Direção Estadual/Distrital","2011-03-23T21:26:08.862270","RR","2541","PRTB"
"Direção Estadual/Distrital","2011-03-23T21:26:08.874162","RR","2659","PMN"
"Direção Estadual/Distrital","2011-03-23T21:26:08.903012","RR","1850","PV"
"Direção Estadual/Distrital","2011-03-23T21:26:10.211834","SC","1231","PMDB"
"Direção Estadual/Distrital","2011-03-23T21:26:10.227573","SC","2405","PSTU"
"Direção Estadual/Distrital","2011-03-23T21:26:10.238807","SC","2385","PSDB"
"Direção Estadual/Distrital","2011-03-23T21:26:10.250943","SC","2386","PR"
"Direção Estadual/Distrital","2011-03-23T21:26:10.263060","SC","2387","PPS"
"Direção Estadual/Distrital","2011-03-23T21:26:10.289956","SC","2388","PC do B"
"Direção Estadual/Distrital","2011-03-23T21:26:10.302535","SC","2389","PDT"
"Direção Estadual/Distrital","2011-03-23T21:26:10.315909","SC","2390","PTB"
"Direção Estadual/Distrital","2011-03-23T21:26:10.325984","SC","2391","PT"
"Direção Estadual/Distrital","2011-03-23T21:26:10.338019","SC","2392","DEM"
"Direção Estadual/Distrital","2011-03-23T21:26:10.471953","SC","2394","PTN"
"Direção Estadual/Distrital","2011-03-23T21:26:10.621937","SC","2396","PTC"
"Direção Estadual/Distrital","2011-03-23T21:26:10.756851","SC","2397","PSOL"
"Direção Estadual/Distrital","2011-03-23T21:26:10.901947","SC","2398","PRB"
"Direção Estadual/Distrital","2011-03-23T21:26:11.050700","SC","2400","PRP"
"Direção Estadual/Distrital","2011-03-23T21:26:11.134420","SC","2401","PV"
"Direção Estadual/Distrital","2011-03-23T21:26:11.165388","SC","2404","PP"
"Direção Estadual/Distrital","2011-03-23T21:26:11.195643","SC","2384","PSB"
"Direção Estadual/Distrital","2011-03-23T21:26:13.725103","SP","2428","PMN"
"Direção Estadual/Distrital","2011-03-23T21:26:13.755899","SP","2675","PCO"
"Direção Estadual/Distrital","2011-03-23T21:26:13.768477","SP","2430","PTC"
"Direção Estadual/Distrital","2011-03-23T21:26:13.779721","SP","2431","PSDB"
"Direção Estadual/Distrital","2011-03-23T21:26:13.790812","SP","2432","PSB"
"Direção Estadual/Distrital","2011-03-23T21:26:13.803574","SP","2433","PPS"
"Direção Estadual/Distrital","2011-03-23T21:26:13.816470","SP","2434","DEM"
"Direção Estadual/Distrital","2011-03-23T21:26:13.840058","SP","2435","PSC"
"Direção Estadual/Distrital","2011-03-23T21:26:13.891848","SP","2436","PDT"
"Direção Estadual/Distrital","2011-03-23T21:26:13.987252","SP","2437","PT"
"Direção Estadual/Distrital","2011-03-23T21:26:14.048429","SP","2438","PTB"
"Direção Estadual/Distrital","2011-03-23T21:26:14.110638","SP","2439","PMDB"
"Direção Estadual/Distrital","2011-03-23T21:26:14.150525","SP","2440","PRP"
"Direção Estadual/Distrital","2011-03-23T21:26:14.182214","SP","2441","PR"
"Direção Estadual/Distrital","2011-03-23T21:26:14.219753","SP","2442","PRB"
"Direção Estadual/Distrital","2011-03-23T21:26:14.250163","SP","2443","PSL"
"Direção Estadual/Distrital","2011-03-23T21:26:14.281956","SP","2445","PHS"
"Direção Estadual/Distrital","2011-03-23T21:26:14.310875","SP","2446","PT do B"
"Direção Estadual/Distrital","2011-03-23T21:26:14.356680","SP","2448","PC do B"
"Direção Estadual/Distrital","2011-03-23T21:26:14.384675","SP","2449","PSTU"
"Direção Estadual/Distrital","2011-03-23T21:26:14.413816","SP","2451","PSDC"
"Direção Estadual/Distrital","2011-03-23T21:26:14.444126","SP","2452","PP"
"Direção Estadual/Distrital","2011-03-23T21:26:14.473996","SP","2453","PSOL"
"Direção Estadual/Distrital","2011-03-23T21:26:14.503133","SP","2429","PV"
"Direção Estadual/Distrital","2011-03-23T21:26:15.838471","SE","902","PDT"
"Direção Estadual/Distrital","2011-03-23T21:26:15.885554","SE","2671","PSTU"
"Direção Estadual/Distrital","2011-03-23T21:26:15.900925","SE","2408","PSDB"
"Direção Estadual/Distrital","2011-03-23T21:26:15.926814","SE","2409","PTC"
"Direção Estadual/Distrital","2011-03-23T21:26:15.937427","SE","2411","PMDB"
"Direção Estadual/Distrital","2011-03-23T21:26:15.948817","SE","2412","PV"
"Direção Estadual/Distrital","2011-03-23T21:26:15.957748","SE","2413","PSB"
"Direção Estadual/Distrital","2011-03-23T21:26:15.970329","SE","2414","PT"
"Direção Estadual/Distrital","2011-03-23T21:26:15.984942","SE","2415","PPS"
"Direção Estadual/Distrital","2011-03-23T21:26:15.997405","SE","2416","DEM"
"Direção Estadual/Distrital","2011-03-23T21:26:16.009698","SE","2417","PR"
"Direção Estadual/Distrital","2011-03-23T21:26:16.021245","SE","2418","PRB"
"Direção Estadual/Distrital","2011-03-23T21:26:16.035744","SE","2419","PSOL"
"Direção Estadual/Distrital","2011-03-23T21:26:16.047822","SE","2420","PSDC"
"Direção Estadual/Distrital","2011-03-23T21:26:16.059071","SE","2424","PT do B"
"Direção Estadual/Distrital","2011-03-23T21:26:16.070206","SE","2425","PSC"
"Direção Estadual/Distrital","2011-03-23T21:26:16.082614","SE","2426","PSL"
"Direção Estadual/Distrital","2011-03-23T21:26:16.093528","SE","2427","PP"
"Direção Estadual/Distrital","2011-03-23T21:26:16.105523","SE","2406","PC do B"
"Direção Estadual/Distrital","2011-03-23T21:26:17.449182","TO","918","PRB"
"Direção Estadual/Distrital","2011-03-23T21:26:17.460060","TO","2680","PTN"
"Direção Estadual/Distrital","2011-03-23T21:26:17.470472","TO","2454","PMDB"
"Direção Estadual/Distrital","2011-03-23T21:26:17.481715","TO","2455","PHS"
"Direção Estadual/Distrital","2011-03-23T21:26:17.493905","TO","2456","PRP"
"Direção Estadual/Distrital","2011-03-23T21:26:17.506295","TO","2458","PSL"
"Direção Estadual/Distrital","2011-03-23T21:26:17.517523","TO","2459","PR"
"Direção Estadual/Distrital","2011-03-23T21:26:17.528978","TO","2461","PDT"
"Direção Estadual/Distrital","2011-03-23T21:26:17.540190","TO","2463","PV"
"Direção Estadual/Distrital","2011-03-23T21:26:17.573097","TO","2464","PT do B"
"Direção Estadual/Distrital","2011-03-23T21:26:17.619728","TO","2465","PPS"
"Direção Estadual/Distrital","2011-03-23T21:26:17.637563","TO","2466","PSB"
"Direção Estadual/Distrital","2011-03-23T21:26:17.657264","TO","2467","PT"
"Direção Estadual/Distrital","2011-03-23T21:26:17.670400","TO","2468","PSDB"
"Direção Estadual/Distrital","2011-03-23T21:26:17.681091","TO","2469","PTB"
"Direção Estadual/Distrital","2011-03-23T21:26:17.692575","TO","2471","PP"
"Direção Estadual/Distrital","2011-03-23T21:26:17.704826","TO","2521","PMN"
"Direção Estadual/Distrital","2011-03-23T21:26:17.717335","TO","2561","PC do B"
"Direção Estadual/Distrital","2011-03-23T21:26:17.729924","TO","2678","PSDC"
"Direção Estadual/Distrital","2011-03-23T21:26:17.740517","TO","1870","DEM"
