"comite_partido","date_scraped","comite_descricao","id","comite_estado"
"PV","2011-03-23T21:10:47.195213","Comitê Financeiro Único","443","AP"
"PSDC","2011-03-23T21:10:47.205293","Comitê Financeiro Único","430","AP"
"PCB","2011-03-23T21:10:47.216493","Comitê Financeiro Único","580","AP"
"PTC","2011-03-23T21:10:49.067991","Comitê Financeiro Distrital/Estadual para Deputado Estadual","496","AM"
"PMDB","2011-03-23T21:10:49.081725","Comitê Financeiro Distrital/Estadual para Deputado Estadual","379","AM"
"PMN","2011-03-23T21:10:49.090731","Comitê Financeiro Distrital/Estadual para Deputado Estadual","416","AM"
"PTN","2011-03-23T21:10:49.103022","Comitê Financeiro Distrital/Estadual para Deputado Estadual","500","AM"
"PSC","2011-03-23T21:10:49.120933","Comitê Financeiro Distrital/Estadual para Deputado Estadual","701","AM"
"PMDB","2011-03-23T21:10:49.130477","Comitê Financeiro Distrital/Estadual para Deputado Federal","380","AM"
"PMN","2011-03-23T21:10:49.142269","Comitê Financeiro Distrital/Estadual para Deputado Federal","415","AM"
"PSC","2011-03-23T21:10:49.153346","Comitê Financeiro Distrital/Estadual para Deputado Federal","702","AM"
"PMN","2011-03-23T21:10:49.165035","Comitê Financeiro Distrital/Estadual para Governador","414","AM"
"PMDB","2011-03-23T21:10:49.175491","Comitê Financeiro Distrital/Estadual para Governador","533","AM"
"PMDB","2011-03-23T21:10:49.186608","Comitê Financeiro Distrital/Estadual para Senador da República","381","AM"
"PSDB","2011-03-23T21:10:49.199813","Comitê Financeiro Único","355","AM"
"PRP","2011-03-23T21:10:49.211912","Comitê Financeiro Único","480","AM"
"PTB","2011-03-23T21:10:49.223169","Comitê Financeiro Único","485","AM"
"PCB","2011-03-23T21:10:49.234013","Comitê Financeiro Único","492","AM"
"PSOL","2011-03-23T21:10:49.244328","Comitê Financeiro Único","511","AM"
"PPS","2011-03-23T21:10:49.255421","Comitê Financeiro Único","592","AM"
"DEM","2011-03-23T21:10:49.266730","Comitê Financeiro Único","677","AM"
"PV","2011-03-23T21:10:49.278411","Comitê Financeiro Único","703","AM"
"PRB","2011-03-23T21:10:49.292050","Comitê Financeiro Único","338","AM"
"PT","2011-03-23T21:10:49.304466","Comitê Financeiro Único","274","AM"
"PSB","2011-03-23T21:10:49.315146","Comitê Financeiro Único","203","AM"
"PR","2011-03-23T21:10:49.326265","Comitê Financeiro Único","192","AM"
"PT do B","2011-03-23T21:10:49.336439","Comitê Financeiro Único","191","AM"
"PSTU","2011-03-23T21:10:49.348819","Comitê Financeiro Único","179","AM"
"PHS","2011-03-23T21:10:49.360188","Comitê Financeiro Único","732","AM"
"PC do B","2011-03-23T21:10:49.370947","Comitê Financeiro Único","173","AM"
"PP","2011-03-23T21:10:49.381242","Comitê Financeiro Único","151","AM"
"PDT","2011-03-23T21:10:49.392512","Comitê Financeiro Único","114","AM"
"PSL","2011-03-23T21:10:49.402636","Comitê Financeiro Único","110","AM"
"PSDC","2011-03-23T21:10:49.414458","Comitê Financeiro Único","176","AM"
"PPS","2011-03-23T21:10:50.825022","Comitê Financeiro Único","116","BA"
"PMN","2011-03-23T21:10:50.904565","Comitê Financeiro Único","781","BA"
"PSC","2011-03-23T21:10:50.991420","Comitê Financeiro Único","120","BA"
"DEM","2011-03-23T21:10:51.077375","Comitê Financeiro Único","121","BA"
"PT do B","2011-03-23T21:10:51.151928","Comitê Financeiro Único","122","BA"
"PSDC","2011-03-23T21:10:51.229398","Comitê Financeiro Único","123","BA"
"PC do B","2011-03-23T21:10:51.255972","Comitê Financeiro Único","128","BA"
"PTN","2011-03-23T21:10:51.283503","Comitê Financeiro Único","130","BA"
"PSTU","2011-03-23T21:10:51.294781","Comitê Financeiro Único","131","BA"
"PR","2011-03-23T21:10:51.306666","Comitê Financeiro Único","175","BA"
"PRP","2011-03-23T21:10:51.317488","Comitê Financeiro Único","195","BA"
"PSL","2011-03-23T21:10:51.332138","Comitê Financeiro Único","209","BA"
"PMDB","2011-03-23T21:10:51.343316","Comitê Financeiro Único","210","BA"
"PRB","2011-03-23T21:10:51.355451","Comitê Financeiro Único","313","BA"
"PDT","2011-03-23T21:10:51.367964","Comitê Financeiro Único","331","BA"
"PT","2011-03-23T21:10:51.378879","Comitê Financeiro Único","353","BA"
"PV","2011-03-23T21:10:51.415271","Comitê Financeiro Único","403","BA"
"PP","2011-03-23T21:10:51.425950","Comitê Financeiro Único","410","BA"
"PTC","2011-03-23T21:10:51.466230","Comitê Financeiro Único","440","BA"
"PSOL","2011-03-23T21:10:51.502277","Comitê Financeiro Único","532","BA"
"PTB","2011-03-23T21:10:51.530353","Comitê Financeiro Único","599","BA"
"PSB","2011-03-23T21:10:51.541445","Comitê Financeiro Único","610","BA"
"PSDB","2011-03-23T21:10:51.555545","Comitê Financeiro Único","119","BA"
"PSB","2011-03-23T21:10:53.192315","Comitê Financeiro Distrital/Estadual para Deputado Estadual","144","CE"
"PSDB","2011-03-23T21:10:53.238141","Comitê Financeiro Distrital/Estadual para Deputado Estadual","312","CE"
"DEM","2011-03-23T21:10:53.361776","Comitê Financeiro Distrital/Estadual para Deputado Estadual","487","CE"
"PSDC","2011-03-23T21:10:53.512754","Comitê Financeiro Distrital/Estadual para Deputado Estadual","540","CE"
"PP","2011-03-23T21:10:53.586811","Comitê Financeiro Distrital/Estadual para Deputado Estadual","598","CE"
"PP","2011-03-23T21:10:53.613045","Comitê Financeiro Distrital/Estadual para Deputado Federal","600","CE"
"PSB","2011-03-23T21:10:53.648677","Comitê Financeiro Distrital/Estadual para Deputado Federal","142","CE"
"PSDB","2011-03-23T21:10:53.698516","Comitê Financeiro Distrital/Estadual para Deputado Federal","311","CE"
"DEM","2011-03-23T21:10:53.709685","Comitê Financeiro Distrital/Estadual para Deputado Federal","490","CE"
"PSB","2011-03-23T21:10:53.718448","Comitê Financeiro Distrital/Estadual para Governador","143","CE"
"PSDB","2011-03-23T21:10:53.727758","Comitê Financeiro Distrital/Estadual para Governador","310","CE"
"PSDB","2011-03-23T21:10:53.786920","Comitê Financeiro Distrital/Estadual para Senador da República","309","CE"
"DEM","2011-03-23T21:10:53.833120","Comitê Financeiro Distrital/Estadual para Senador da República","756","CE"
"PTN","2011-03-23T21:10:53.882782","Comitê Financeiro Único","538","CE"
"PTB","2011-03-23T21:10:53.927284","Comitê Financeiro Único","539","CE"
"PT","2011-03-23T21:10:53.945588","Comitê Financeiro Único","628","CE"
"PV","2011-03-23T21:10:53.957958","Comitê Financeiro Único","642","CE"
"PSL","2011-03-23T21:10:53.967060","Comitê Financeiro Único","647","CE"
"PSTU","2011-03-23T21:10:54.010366","Comitê Financeiro Único","778","CE"
"PDT","2011-03-23T21:10:54.019931","Comitê Financeiro Único","537","CE"
"PPS","2011-03-23T21:10:54.057746","Comitê Financeiro Único","453","CE"
"PRTB","2011-03-23T21:10:54.066820","Comitê Financeiro Único","452","CE"
"PR","2011-03-23T21:10:54.081126","Comitê Financeiro Único","450","CE"
"PMDB","2011-03-23T21:10:54.088760","Comitê Financeiro Único","447","CE"
"PHS","2011-03-23T21:10:54.099168","Comitê Financeiro Único","411","CE"
"PRP","2011-03-23T21:10:54.109290","Comitê Financeiro Único","407","CE"
"PSOL","2011-03-23T21:10:54.120763","Comitê Financeiro Único","349","CE"
"PMN","2011-03-23T21:10:54.155144","Comitê Financeiro Único","271","CE"
"PCB","2011-03-23T21:10:54.162418","Comitê Financeiro Único","877","CE"
"PSC","2011-03-23T21:10:54.190232","Comitê Financeiro Único","204","CE"
"PC do B","2011-03-23T21:10:54.207769","Comitê Financeiro Único","201","CE"
"PRB","2011-03-23T21:10:54.217339","Comitê Financeiro Único","157","CE"
"PTC","2011-03-23T21:10:54.231676","Comitê Financeiro Único","205","CE"
"PT","2011-03-23T21:10:55.728565","Comitê Financeiro Distrital/Estadual para Governador","384","DF"
"PT","2011-03-23T21:10:55.765194","Comitê Financeiro Único","385","DF"
"PHS","2011-03-23T21:10:55.798019","Comitê Financeiro Único","386","DF"
"PC do B","2011-03-23T21:10:55.813479","Comitê Financeiro Único","387","DF"
"PSB","2011-03-23T21:10:55.823677","Comitê Financeiro Único","388","DF"
"PMDB","2011-03-23T21:10:55.835798","Comitê Financeiro Único","397","DF"
"PR","2011-03-23T21:10:55.845057","Comitê Financeiro Único","417","DF"
"PP","2011-03-23T21:10:55.855176","Comitê Financeiro Único","464","DF"
"PT do B","2011-03-23T21:10:55.865680","Comitê Financeiro Único","570","DF"
"PTC","2011-03-23T21:10:55.876241","Comitê Financeiro Único","629","DF"
"PSOL","2011-03-23T21:10:55.886722","Comitê Financeiro Único","643","DF"
"PSDB","2011-03-23T21:10:55.944878","Comitê Financeiro Único","658","DF"
"PDT","2011-03-23T21:10:55.969495","Comitê Financeiro Único","670","DF"
"PRB","2011-03-23T21:10:55.977933","Comitê Financeiro Único","678","DF"
"DEM","2011-03-23T21:10:55.990723","Comitê Financeiro Único","722","DF"
"PCO","2011-03-23T21:10:56.002203","Comitê Financeiro Único","724","DF"
"PSL","2011-03-23T21:10:56.038201","Comitê Financeiro Único","727","DF"
"PRTB","2011-03-23T21:10:56.049862","Comitê Financeiro Único","731","DF"
"PSC","2011-03-23T21:10:56.059088","Comitê Financeiro Único","741","DF"
"PMN","2011-03-23T21:10:56.073637","Comitê Financeiro Único","750","DF"
"PCB","2011-03-23T21:10:56.085011","Comitê Financeiro Único","754","DF"
"PTB","2011-03-23T21:10:56.095163","Comitê Financeiro Único","776","DF"
"PTN","2011-03-23T21:10:56.108377","Comitê Financeiro Único","844","DF"
"PPS","2011-03-23T21:10:56.120466","Comitê Financeiro Único","847","DF"
"PSTU","2011-03-23T21:10:56.203244","Comitê Financeiro Único","863","DF"
"PSDC","2011-03-23T21:10:56.212780","Comitê Financeiro Único","879","DF"
"PRP","2011-03-23T21:10:56.243270","Comitê Financeiro Único","2527","DF"
"PV","2011-03-23T21:10:56.267268","Comitê Financeiro Único","382","DF"
"PSDC","2011-03-23T21:10:58.006868","Comitê Financeiro Distrital/Estadual para Deputado Estadual","510","ES"
"PSB","2011-03-23T21:10:58.032785","Comitê Financeiro Distrital/Estadual para Deputado Estadual","231","ES"
"PSB","2011-03-23T21:10:58.041199","Comitê Financeiro Distrital/Estadual para Deputado Federal","230","ES"
"PSB","2011-03-23T21:10:58.048569","Comitê Financeiro Distrital/Estadual para Governador","229","ES"
"PT","2011-03-23T21:10:58.083570","Comitê Financeiro Único","335","ES"
"DEM","2011-03-23T21:10:58.090995","Comitê Financeiro Único","359","ES"
"PSDB","2011-03-23T21:10:58.099237","Comitê Financeiro Único","361","ES"
"PHS","2011-03-23T21:10:58.116278","Comitê Financeiro Único","363","ES"
"PSOL","2011-03-23T21:10:58.125195","Comitê Financeiro Único","855","ES"
"PMN","2011-03-23T21:10:58.148727","Comitê Financeiro Único","395","ES"
"PSC","2011-03-23T21:10:58.241009","Comitê Financeiro Único","438","ES"
"PRTB","2011-03-23T21:10:58.319530","Comitê Financeiro Único","449","ES"
"PT do B","2011-03-23T21:10:58.398908","Comitê Financeiro Único","479","ES"
"PDT","2011-03-23T21:10:58.456555","Comitê Financeiro Único","517","ES"
"PTC","2011-03-23T21:10:58.529511","Comitê Financeiro Único","651","ES"
"PRB","2011-03-23T21:10:58.601972","Comitê Financeiro Único","660","ES"
"PP","2011-03-23T21:10:58.615615","Comitê Financeiro Único","719","ES"
"PPS","2011-03-23T21:10:58.627992","Comitê Financeiro Único","786","ES"
"PR","2011-03-23T21:10:58.638619","Comitê Financeiro Único","803","ES"
"PRP","2011-03-23T21:10:58.653662","Comitê Financeiro Único","854","ES"
"PC do B","2011-03-23T21:10:58.665325","Comitê Financeiro Único","227","ES"
"PTB","2011-03-23T21:10:58.699032","Comitê Financeiro Único","226","ES"
"PV","2011-03-23T21:10:58.708336","Comitê Financeiro Único","170","ES"
"PSL","2011-03-23T21:10:58.719139","Comitê Financeiro Único","125","ES"
"PMDB","2011-03-23T21:10:58.733583","Comitê Financeiro Único","383","ES"
"PTC","2011-03-23T21:11:00.190280","Comitê Financeiro Distrital/Estadual para Deputado Estadual","759","GO"
"PTC","2011-03-23T21:11:00.313685","Comitê Financeiro Distrital/Estadual para Deputado Federal","758","GO"
"PSL","2011-03-23T21:11:00.448602","Comitê Financeiro Único","235","GO"
"PSDB","2011-03-23T21:11:00.538722","Comitê Financeiro Único","246","GO"
"PR","2011-03-23T21:11:00.595039","Comitê Financeiro Único","262","GO"
"PP","2011-03-23T21:11:00.651358","Comitê Financeiro Único","267","GO"
"PSDC","2011-03-23T21:11:00.707869","Comitê Financeiro Único","270","GO"
"PMN","2011-03-23T21:11:00.778505","Comitê Financeiro Único","286","GO"
"PMDB","2011-03-23T21:11:00.862391","Comitê Financeiro Único","290","GO"
"PTN","2011-03-23T21:11:00.986338","Comitê Financeiro Único","291","GO"
"PT do B","2011-03-23T21:11:01.105882","Comitê Financeiro Único","2534","GO"
"PV","2011-03-23T21:11:01.135948","Comitê Financeiro Único","360","GO"
"PSC","2011-03-23T21:11:01.147151","Comitê Financeiro Único","377","GO"
"PDT","2011-03-23T21:11:01.157909","Comitê Financeiro Único","434","GO"
"PSOL","2011-03-23T21:11:01.170293","Comitê Financeiro Único","454","GO"
"PRB","2011-03-23T21:11:01.195661","Comitê Financeiro Único","475","GO"
"PC do B","2011-03-23T21:11:01.249401","Comitê Financeiro Único","506","GO"
"PRP","2011-03-23T21:11:01.260153","Comitê Financeiro Único","563","GO"
"PHS","2011-03-23T21:11:01.272573","Comitê Financeiro Único","571","GO"
"PPS","2011-03-23T21:11:01.284564","Comitê Financeiro Único","676","GO"
"PCB","2011-03-23T21:11:01.294914","Comitê Financeiro Único","735","GO"
"PSB","2011-03-23T21:11:01.307287","Comitê Financeiro Único","747","GO"
"PRTB","2011-03-23T21:11:01.330868","Comitê Financeiro Único","748","GO"
"PTB","2011-03-23T21:11:01.341026","Comitê Financeiro Único","185","GO"
"DEM","2011-03-23T21:11:01.350677","Comitê Financeiro Único","133","GO"
"PT","2011-03-23T21:11:01.359840","Comitê Financeiro Único","316","GO"
"PC do B","2011-03-23T21:11:02.981205","Comitê Financeiro Distrital/Estadual para Deputado Estadual","521","MA"
"PRB","2011-03-23T21:11:03.068790","Comitê Financeiro Distrital/Estadual para Deputado Estadual","221","MA"
"PP","2011-03-23T21:11:03.147235","Comitê Financeiro Distrital/Estadual para Deputado Estadual","451","MA"
"PMN","2011-03-23T21:11:03.162048","Comitê Financeiro Distrital/Estadual para Deputado Estadual","782","MA"
"PSDC","2011-03-23T21:11:03.198274","Comitê Financeiro Distrital/Estadual para Deputado Federal","867","MA"
"PRB","2011-03-23T21:11:03.260878","Comitê Financeiro Distrital/Estadual para Deputado Federal","220","MA"
"PP","2011-03-23T21:11:03.315313","Comitê Financeiro Distrital/Estadual para Deputado Federal","456","MA"
"PMN","2011-03-23T21:11:03.358664","Comitê Financeiro Distrital/Estadual para Deputado Federal","509","MA"
"PC do B","2011-03-23T21:11:03.397019","Comitê Financeiro Distrital/Estadual para Deputado Federal","520","MA"
"PC do B","2011-03-23T21:11:03.409289","Comitê Financeiro Distrital/Estadual para Governador","260","MA"
"PC do B","2011-03-23T21:11:03.419473","Comitê Financeiro Distrital/Estadual para Senador da República","519","MA"
"PP","2011-03-23T21:11:03.431136","Comitê Financeiro Distrital/Estadual para Senador da República","458","MA"
"PSB","2011-03-23T21:11:03.441637","Comitê Financeiro Único","477","MA"
"PSTU","2011-03-23T21:11:03.453118","Comitê Financeiro Único","491","MA"
"PR","2011-03-23T21:11:03.464055","Comitê Financeiro Único","505","MA"
"PT","2011-03-23T21:11:03.486160","Comitê Financeiro Único","641","MA"
"PTN","2011-03-23T21:11:03.529551","Comitê Financeiro Único","648","MA"
"PSOL","2011-03-23T21:11:03.539447","Comitê Financeiro Único","688","MA"
"PT do B","2011-03-23T21:11:03.550964","Comitê Financeiro Único","738","MA"
"PSDB","2011-03-23T21:11:03.562045","Comitê Financeiro Único","764","MA"
"PDT","2011-03-23T21:11:03.574067","Comitê Financeiro Único","472","MA"
"DEM","2011-03-23T21:11:03.584652","Comitê Financeiro Único","469","MA"
"PPS","2011-03-23T21:11:03.594942","Comitê Financeiro Único","460","MA"
"PSC","2011-03-23T21:11:03.608540","Comitê Financeiro Único","432","MA"
"PTC","2011-03-23T21:11:03.618944","Comitê Financeiro Único","374","MA"
"PRTB","2011-03-23T21:11:03.644235","Comitê Financeiro Único","371","MA"
"PV","2011-03-23T21:11:03.653168","Comitê Financeiro Único","368","MA"
"PCB","2011-03-23T21:11:03.664408","Comitê Financeiro Único","807","MA"
"PHS","2011-03-23T21:11:03.673253","Comitê Financeiro Único","354","MA"
"PTB","2011-03-23T21:11:03.683763","Comitê Financeiro Único","346","MA"
"PRP","2011-03-23T21:11:03.695003","Comitê Financeiro Único","225","MA"
"PMDB","2011-03-23T21:11:03.705196","Comitê Financeiro Único","211","MA"
"PSL","2011-03-23T21:11:03.771378","Comitê Financeiro Único","366","MA"
"PHS","2011-03-23T21:11:05.304154","Comitê Financeiro Distrital/Estadual para Deputado Federal","817","MT"
"PSDB","2011-03-23T21:11:05.437672","Comitê Financeiro Único","159","MT"
"DEM","2011-03-23T21:11:05.508188","Comitê Financeiro Único","200","MT"
"PT","2011-03-23T21:11:05.519411","Comitê Financeiro Único","263","MT"
"PP","2011-03-23T21:11:05.530331","Comitê Financeiro Único","273","MT"
"PRB","2011-03-23T21:11:05.542178","Comitê Financeiro Único","326","MT"
"PMDB","2011-03-23T21:11:05.553093","Comitê Financeiro Único","330","MT"
"PTB","2011-03-23T21:11:05.565355","Comitê Financeiro Único","340","MT"
"PSL","2011-03-23T21:11:05.576370","Comitê Financeiro Único","348","MT"
"PRTB","2011-03-23T21:11:05.589354","Comitê Financeiro Único","393","MT"
"PSDC","2011-03-23T21:11:05.601908","Comitê Financeiro Único","474","MT"
"PR","2011-03-23T21:11:05.614211","Comitê Financeiro Único","567","MT"
"PT do B","2011-03-23T21:11:05.625768","Comitê Financeiro Único","593","MT"
"PDT","2011-03-23T21:11:05.638253","Comitê Financeiro Único","616","MT"
"PTN","2011-03-23T21:11:05.649923","Comitê Financeiro Único","618","MT"
"PSC","2011-03-23T21:11:05.662861","Comitê Financeiro Único","621","MT"
"PV","2011-03-23T21:11:05.673875","Comitê Financeiro Único","689","MT"
"PSB","2011-03-23T21:11:05.686550","Comitê Financeiro Único","690","MT"
"PTC","2011-03-23T21:11:05.699459","Comitê Financeiro Único","695","MT"
"PC do B","2011-03-23T21:11:05.712164","Comitê Financeiro Único","696","MT"
"PRP","2011-03-23T21:11:05.723182","Comitê Financeiro Único","723","MT"
"PPS","2011-03-23T21:11:05.736284","Comitê Financeiro Único","774","MT"
"PMN","2011-03-23T21:11:05.748558","Comitê Financeiro Único","156","MT"
"PMN","2011-03-23T21:11:07.325753","Comitê Financeiro Distrital/Estadual para Deputado Estadual","168","MS"
"PC do B","2011-03-23T21:11:07.441732","Comitê Financeiro Distrital/Estadual para Deputado Estadual","455","MS"
"PC do B","2011-03-23T21:11:07.648141","Comitê Financeiro Distrital/Estadual para Deputado Federal","457","MS"
"PMN","2011-03-23T21:11:07.761864","Comitê Financeiro Distrital/Estadual para Deputado Federal","165","MS"
"PRB","2011-03-23T21:11:07.839463","Comitê Financeiro Único","350","MS"
"PR","2011-03-23T21:11:07.847205","Comitê Financeiro Único","422","MS"
"PHS","2011-03-23T21:11:07.859529","Comitê Financeiro Único","513","MS"
"PT do B","2011-03-23T21:11:07.884346","Comitê Financeiro Único","514","MS"
"PSC","2011-03-23T21:11:07.933245","Comitê Financeiro Único","2528","MS"
"PTN","2011-03-23T21:11:07.960244","Comitê Financeiro Único","578","MS"
"PRP","2011-03-23T21:11:07.969218","Comitê Financeiro Único","589","MS"
"PP","2011-03-23T21:11:07.978313","Comitê Financeiro Único","652","MS"
"PTB","2011-03-23T21:11:07.990584","Comitê Financeiro Único","655","MS"
"PSDC","2011-03-23T21:11:08.003464","Comitê Financeiro Único","657","MS"
"PV","2011-03-23T21:11:08.016288","Comitê Financeiro Único","693","MS"
"PSOL","2011-03-23T21:11:08.027773","Comitê Financeiro Único","717","MS"
"PSB","2011-03-23T21:11:08.039067","Comitê Financeiro Único","752","MS"
"DEM","2011-03-23T21:11:08.052302","Comitê Financeiro Único","780","MS"
"PTC","2011-03-23T21:11:08.064017","Comitê Financeiro Único","784","MS"
"PRTB","2011-03-23T21:11:08.076865","Comitê Financeiro Único","802","MS"
"PSL","2011-03-23T21:11:08.093197","Comitê Financeiro Único","814","MS"
"PSDB","2011-03-23T21:11:08.105616","Comitê Financeiro Único","334","MS"
"PDT","2011-03-23T21:11:08.120973","Comitê Financeiro Único","320","MS"
"PT","2011-03-23T21:11:08.133774","Comitê Financeiro Único","256","MS"
"PMDB","2011-03-23T21:11:08.162359","Comitê Financeiro Único","224","MS"
"PPS","2011-03-23T21:11:08.206608","Comitê Financeiro Único","569","MS"
"PT","2011-03-23T21:11:09.863413","Comitê Financeiro Distrital/Estadual para Deputado Estadual","444","MG"
"PHS","2011-03-23T21:11:10.032079","Comitê Financeiro Distrital/Estadual para Deputado Estadual","579","MG"
"PHS","2011-03-23T21:11:10.169261","Comitê Financeiro Distrital/Estadual para Deputado Federal","576","MG"
"PT","2011-03-23T21:11:10.302445","Comitê Financeiro Distrital/Estadual para Deputado Federal","445","MG"
"PT","2011-03-23T21:11:10.451945","Comitê Financeiro Distrital/Estadual para Governador","446","MG"
"PHS","2011-03-23T21:11:10.568316","Comitê Financeiro Distrital/Estadual para Senador da República","2721","MG"
"PT","2011-03-23T21:11:10.693431","Comitê Financeiro Distrital/Estadual para Senador da República","442","MG"
"PSOL","2011-03-23T21:11:10.845462","Comitê Financeiro Único","851","MG"
"PPS","2011-03-23T21:11:10.855255","Comitê Financeiro Único","237","MG"
"PTC","2011-03-23T21:11:10.866438","Comitê Financeiro Único","258","MG"
"PTB","2011-03-23T21:11:10.878421","Comitê Financeiro Único","289","MG"
"PV","2011-03-23T21:11:10.892640","Comitê Financeiro Único","327","MG"
"PR","2011-03-23T21:11:10.904525","Comitê Financeiro Único","369","MG"
"PMDB","2011-03-23T21:11:10.914205","Comitê Financeiro Único","370","MG"
"PP","2011-03-23T21:11:10.924233","Comitê Financeiro Único","375","MG"
"PSDB","2011-03-23T21:11:10.934235","Comitê Financeiro Único","396","MG"
"PSB","2011-03-23T21:11:10.944397","Comitê Financeiro Único","406","MG"
"PRP","2011-03-23T21:11:10.955812","Comitê Financeiro Único","544","MG"
"PCB","2011-03-23T21:11:10.967864","Comitê Financeiro Único","585","MG"
"PDT","2011-03-23T21:11:10.980981","Comitê Financeiro Único","671","MG"
"PRTB","2011-03-23T21:11:10.991985","Comitê Financeiro Único","711","MG"
"PTN","2011-03-23T21:11:11.003316","Comitê Financeiro Único","845","MG"
"PSC","2011-03-23T21:11:11.039771","Comitê Financeiro Único","213","MG"
"PC do B","2011-03-23T21:11:11.047763","Comitê Financeiro Único","187","MG"
"PSDC","2011-03-23T21:11:11.056722","Comitê Financeiro Único","182","MG"
"PRB","2011-03-23T21:11:11.086783","Comitê Financeiro Único","164","MG"
"PT do B","2011-03-23T21:11:11.098091","Comitê Financeiro Único","111","MG"
"PSTU","2011-03-23T21:11:11.109904","Comitê Financeiro Único","106","MG"
"PSL","2011-03-23T21:11:11.120319","Comitê Financeiro Único","44","MG"
"DEM","2011-03-23T21:11:11.131102","Comitê Financeiro Único","216","MG"
"PSC","2011-03-23T21:11:12.831708","Comitê Financeiro Distrital/Estadual para Deputado Estadual","770","PA"
"PSOL","2011-03-23T21:11:12.961756","Comitê Financeiro Distrital/Estadual para Deputado Estadual","663","PA"
"PTC","2011-03-23T21:11:13.216256","Comitê Financeiro Distrital/Estadual para Deputado Estadual","772","PA"
"PT do B","2011-03-23T21:11:13.386696","Comitê Financeiro Distrital/Estadual para Deputado Estadual","798","PA"
"PSC","2011-03-23T21:11:13.524797","Comitê Financeiro Distrital/Estadual para Deputado Federal","769","PA"
"PSOL","2011-03-23T21:11:13.681953","Comitê Financeiro Distrital/Estadual para Deputado Federal","800","PA"
"PTN","2011-03-23T21:11:13.831518","Comitê Financeiro Distrital/Estadual para Deputado Federal","632","PA"
"PTC","2011-03-23T21:11:13.976116","Comitê Financeiro Distrital/Estadual para Deputado Federal","694","PA"
"PT do B","2011-03-23T21:11:14.104217","Comitê Financeiro Distrital/Estadual para Deputado Federal","768","PA"
"PSOL","2011-03-23T21:11:14.281840","Comitê Financeiro Distrital/Estadual para Governador","667","PA"
"PSOL","2011-03-23T21:11:14.390586","Comitê Financeiro Distrital/Estadual para Senador da República","666","PA"
"PHS","2011-03-23T21:11:14.481821","Comitê Financeiro Único","777","PA"
"PR","2011-03-23T21:11:14.528663","Comitê Financeiro Único","779","PA"
"PP","2011-03-23T21:11:14.538910","Comitê Financeiro Único","799","PA"
"PRTB","2011-03-23T21:11:14.592887","Comitê Financeiro Único","815","PA"
"PDT","2011-03-23T21:11:14.683592","Comitê Financeiro Único","853","PA"
"PRP","2011-03-23T21:11:14.803084","Comitê Financeiro Único","856","PA"
"PSDC","2011-03-23T21:11:14.891678","Comitê Financeiro Único","857","PA"
"PTB","2011-03-23T21:11:14.910267","Comitê Financeiro Único","692","PA"
"PSTU","2011-03-23T21:11:14.926213","Comitê Financeiro Único","682","PA"
"DEM","2011-03-23T21:11:14.950944","Comitê Financeiro Único","672","PA"
"PV","2011-03-23T21:11:14.968553","Comitê Financeiro Único","654","PA"
"PPS","2011-03-23T21:11:14.982222","Comitê Financeiro Único","622","PA"
"PSDB","2011-03-23T21:11:15.006982","Comitê Financeiro Único","536","PA"
"PSB","2011-03-23T21:11:15.014805","Comitê Financeiro Único","535","PA"
"PMN","2011-03-23T21:11:15.024769","Comitê Financeiro Único","870","PA"
"PT","2011-03-23T21:11:15.036489","Comitê Financeiro Único","372","PA"
"PRB","2011-03-23T21:11:15.052451","Comitê Financeiro Único","284","PA"
"PMDB","2011-03-23T21:11:15.062236","Comitê Financeiro Único","282","PA"
"PC do B","2011-03-23T21:11:15.074274","Comitê Financeiro Único","390","PA"
"PSDC","2011-03-23T21:11:16.431540","Comitê Financeiro Distrital/Estadual para Deputado Estadual","866","PB"
"PSC","2011-03-23T21:11:16.561790","Comitê Financeiro Distrital/Estadual para Senador da República","804","PB"
"PSB","2011-03-23T21:11:16.691760","Comitê Financeiro Único","160","PB"
"DEM","2011-03-23T21:11:16.826654","Comitê Financeiro Único","206","PB"
"PR","2011-03-23T21:11:16.941913","Comitê Financeiro Único","269","PB"
"PMDB","2011-03-23T21:11:17.061554","Comitê Financeiro Único","317","PB"
"PMN","2011-03-23T21:11:17.222025","Comitê Financeiro Único","321","PB"
"PDT","2011-03-23T21:11:17.339078","Comitê Financeiro Único","356","PB"
"PC do B","2011-03-23T21:11:17.425248","Comitê Financeiro Único","424","PB"
"PTN","2011-03-23T21:11:17.501928","Comitê Financeiro Único","473","PB"
"PSC","2011-03-23T21:11:17.631771","Comitê Financeiro Único","2530","PB"
"PPS","2011-03-23T21:11:17.741999","Comitê Financeiro Único","568","PB"
"PP","2011-03-23T21:11:17.871969","Comitê Financeiro Único","584","PB"
"PRP","2011-03-23T21:11:17.982025","Comitê Financeiro Único","646","PB"
"PT","2011-03-23T21:11:18.008301","Comitê Financeiro Único","686","PB"
"PV","2011-03-23T21:11:18.045330","Comitê Financeiro Único","699","PB"
"PSDB","2011-03-23T21:11:18.056227","Comitê Financeiro Único","712","PB"
"PRTB","2011-03-23T21:11:18.068286","Comitê Financeiro Único","725","PB"
"PCO","2011-03-23T21:11:18.080583","Comitê Financeiro Único","728","PB"
"PT do B","2011-03-23T21:11:18.092788","Comitê Financeiro Único","753","PB"
